Sales_ID,name,year,selling_price,km_driven,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,Region
980,Volkswagen Polo Diesel Trendline 1.2L,2013,350000,80000,District of Columbia,Washington,Diesel,Individual,Manual,Third Owner,22,1199,73.9,5,Y,East
989,Hyundai Verna VTVT 1.6 SX Option,2018,1100000,60000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,Y,East
990,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2013,600000,90000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,13.5,2499,72.4,9,Y,East
991,Maruti Ertiga VDI,2014,550000,50000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,20.7,1248,88.76,7,Y,East
992,Mahindra Scorpio S4 Plus 4WD,2015,715000,70000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,15,2179,120,7,Y,East
1011,Ford Aspire Titanium Diesel BSIV,2016,600000,155201,District of Columbia,Washington,Diesel,Dealer,Manual,First Owner,26,1498,99.23,5,Y,East
1012,Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,101504,District of Columbia,Washington,Diesel,Dealer,Manual,First Owner,22,1498,89.84,5,Y,East
1027,Maruti Celerio ZXI,2017,425000,40000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,23,998,67.04,5,Y,East
2,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,New York,New York City,Diesel,Individual,Manual,Second Owner,21.1,1498,103.52,5,Y,East
5,Maruti Swift VXI BSIII,2007,130000,120000,New York,New York City,Petrol,Individual,Manual,First Owner,16,1298,88.2,5,Y,East
6,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,New York,New York City,Petrol,Individual,Manual,First Owner,20.1,1197,81.86,5,Y,East
11,Renault Duster 110PS Diesel RxL,2014,500000,68000,New York,New York City,Diesel,Individual,Manual,Second Owner,19,1461,108.45,5,Y,East
20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,New York,New York City,Diesel,Individual,Manual,First Owner,22.5,1396,88.73,5,Y,East
21,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,New York,New York City,Diesel,Individual,Manual,Second Owner,21,1461,64.1,5,Y,East
22,Honda WR-V i-DTEC VX,2017,950000,50000,New York,New York City,Diesel,Individual,Manual,First Owner,25,1498,98.6,5,Y,East
24,Maruti SX4 ZDI,2012,600000,72000,New York,New York City,Diesel,Individual,Manual,First Owner,21,1248,88.8,5,Y,East
25,Tata Tigor 2017-2020 XZ,2018,500000,35000,New York,New York City,Petrol,Individual,Manual,First Owner,20,1199,83.81,5,Y,East
30,Maruti Omni E MPI STD BS IV,2018,254999,25000,New York,New York City,Petrol,Individual,Manual,First Owner,16,796,34.2,8,Y,East
42,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,New York,New York City,Petrol,Individual,Automatic,First Owner,16,1368,160.77,5,Y,East
43,Honda City i VTEC VX,2018,925000,28900,New York,New York City,Petrol,Dealer,Manual,First Owner,17,1497,117.3,5,Y,East
44,Honda City V MT,2013,425000,86300,New York,New York City,Petrol,Dealer,Manual,First Owner,16,1497,116.3,5,Y,East
45,Maruti Swift Dzire VXi AT,2018,675000,23300,New York,New York City,Petrol,Dealer,Automatic,First Owner,18,1197,83.14,5,Y,East
47,Maruti Alto K10 VXI,2018,390000,10300,New York,New York City,Petrol,Dealer,Manual,First Owner,23.9,998,67.05,5,Y,East
49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,New York,New York City,Diesel,Dealer,Manual,First Owner,12.9,2494,100,7,Y,East
50,Mercedes-Benz B Class B180,2014,1450000,27800,New York,New York City,Diesel,Dealer,Automatic,Second Owner,14,2143,120.7,5,Y,East
51,Honda Amaze S Diesel,2015,425000,49800,New York,New York City,Diesel,Dealer,Manual,First Owner,24,1498,98.63,5,Y,East
54,Maruti Ciaz Zeta,2018,850000,64000,New York,New York City,Petrol,Dealer,Manual,First Owner,20.6,1462,103.25,5,Y,East
67,Maruti Baleno Delta 1.2,2019,650000,30000,New York,New York City,Petrol,Individual,Manual,First Owner,21,1197,83.1,5,Y,East
74,Hyundai i10 Magna,2011,235000,60000,New York,New York City,Petrol,Individual,Manual,Second Owner,20.3,1197,78.9,5,Y,East
81,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,New York,New York City,Diesel,Individual,Manual,First Owner,12.9,2494,100.6,8,Y,East
87,Maruti Alto 800 LXI BSIV,2016,275000,38000,New York,New York City,Petrol,Dealer,Manual,First Owner,24,796,47.3,5,Y,East
108,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,New York,New York City,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,Y,East
111,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,New York,New York City,Diesel,Individual,Manual,First Owner,15,2179,155,7,Y,East
112,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,New York,New York City,Diesel,Individual,Manual,First Owner,19,1405,69.01,5,Y,East
113,Hyundai Verna 1.6 SX,2013,522000,150000,New York,New York City,Diesel,Individual,Manual,Second Owner,22.3,1582,126.32,5,Y,East
114,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,New York,New York City,Diesel,Individual,Manual,First Owner,21,1396,88.76,5,Y,East
115,Toyota Corolla Altis G,2009,300000,100000,New York,New York City,Petrol,Individual,Manual,Second Owner,14.5,1798,138.1,5,Y,East
116,Maruti Celerio VXI,2020,475000,13000,New York,New York City,Petrol,Individual,Manual,First Owner,21.6,998,67.04,5,Y,East
123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,New York,New York City,Diesel,Individual,Manual,First Owner,23,1498,98.96,5,Y,East
134,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,New York,New York City,Diesel,Dealer,Automatic,First Owner,19.3,1999,177,5,Y,East
140,BMW X4 M Sport X xDrive20d,2019,5800000,7500,New York,New York City,Diesel,Dealer,Automatic,First Owner,16.7,1995,190,5,Y,East
152,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,New York,New York City,Diesel,Dealer,Automatic,First Owner,13,1999,177,5,Y,East
153,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,New York,New York City,Petrol,Dealer,Manual,First Owner,17,1198,108.5,5,Y,East
155,Hyundai Elantra SX,2012,550000,95000,New York,New York City,Petrol,Individual,Manual,First Owner,16,1797,147.5,5,Y,East
165,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,New York,New York City,Diesel,Dealer,Automatic,First Owner,21,1497,108.5,5,Y,East
167,Toyota Camry 2.5 Hybrid,2016,1900000,41000,New York,New York City,Petrol,Dealer,Automatic,First Owner,19.1,2494,157.7,5,Y,East
169,Toyota Camry W4 (AT),2009,450000,71000,New York,New York City,Petrol,Dealer,Automatic,First Owner,12,2362,164.7,5,Y,East
171,Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,New York,New York City,Petrol,Individual,Automatic,First Owner,42,1969,400,4,Y,East
180,Hyundai Grand i10 Magna,2015,425000,70000,New York,New York City,Petrol,Individual,Manual,First Owner,18,1197,82,5,Y,East
181,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,New York,New York City,Petrol,Individual,Manual,First Owner,19.4,999,75,5,Y,East
221,Maruti Alto LXi,2011,160000,25000,New York,New York City,Petrol,Individual,Manual,Second Owner,19,796,46.3,5,Y,East
246,Maruti Swift Dzire VDI,2013,550000,70000,New York,New York City,Diesel,Individual,Manual,First Owner,23,1248,74,5,Y,East
254,Maruti Swift LXI Optional-O,2015,350000,100000,New York,New York City,Petrol,Individual,Manual,First Owner,20,1197,83.11,5,Y,East
293,Hyundai i10 Sportz AT,2013,290000,50000,New York,New York City,Petrol,Individual,Automatic,First Owner,16.9,1197,78.9,5,Y,East
294,Maruti Swift VXI Deca,2016,520000,20000,New York,New York City,Petrol,Individual,Manual,First Owner,20,1197,81.8,5,Y,East
295,Hyundai i10 Sportz AT,2011,265000,20000,New York,New York City,Petrol,Individual,Automatic,First Owner,16.9,1197,78.9,5,Y,East
302,Hyundai i20 1.2 Asta,2010,300000,70000,New York,New York City,Petrol,Individual,Manual,First Owner,17,1197,80,5,Y,East
303,Maruti Alto LXI,2005,90000,99361,New York,New York City,Petrol,Individual,Manual,Second Owner,19,796,46.3,5,Y,East
325,Maruti Swift ZXI ABS,2011,325000,58000,New York,New York City,Petrol,Individual,Manual,Third Owner,16,1298,88.2,5,Y,East
326,Maruti Swift Dzire VXi AT,2012,420000,120000,New York,New York City,Petrol,Individual,Automatic,First Owner,17,1197,85.8,5,Y,East
327,Maruti Swift LXI Option,2014,400000,50000,New York,New York City,Petrol,Individual,Manual,First Owner,20,1197,81.8,5,Y,East
339,Maruti Swift Dzire ZDi,2011,265000,90000,New York,New York City,Diesel,Individual,Manual,Fourth & Above Owner,19,1248,73.9,5,Y,East
340,Maruti A-Star Vxi,2010,130000,162000,New York,New York City,Petrol,Individual,Manual,Second Owner,19,998,66.1,5,Y,East
351,Toyota Fortuner 2.8 2WD MT BSIV,2018,3000000,35000,New York,New York City,Diesel,Individual,Manual,First Owner,14.2,2755,174.5,7,Y,East
352,Renault KWID RXL,2018,390000,13000,New York,New York City,Petrol,Dealer,Manual,First Owner,20.7,799,53.26,5,Y,East
353,Honda Brio 1.2 VX MT,2012,325000,40000,New York,New York City,Petrol,Dealer,Manual,First Owner,18,1198,86.8,5,Y,East
357,Hyundai i10 Sportz,2009,215000,60000,New York,New York City,Petrol,Dealer,Manual,First Owner,20.3,1197,78.9,5,Y,East
368,Hyundai i10 Magna,2010,140000,70000,New York,New York City,Petrol,Individual,Manual,Fourth & Above Owner,20.3,1197,78.9,5,Y,East
372,Lexus ES 300h,2019,5150000,20000,New York,New York City,Petrol,Dealer,Automatic,First Owner,22.3,2487,214.56,5,Y,East
379,Honda Jazz VX,2016,550000,56494,New York,New York City,Petrol,Trustmark Dealer,Manual,First Owner,18,1199,88.7,5,Y,East
393,Maruti Swift Dzire VDI,2015,480000,90000,New York,New York City,Diesel,Individual,Manual,First Owner,26.5,1248,74,5,Y,East
394,Hyundai Verna 1.6 SX CRDi (O),2014,535000,70000,New York,New York City,Diesel,Individual,Manual,Third Owner,22.3,1582,126.32,5,Y,East
402,Tata Indigo LS,2012,95000,265000,New York,New York City,Diesel,Individual,Manual,Second Owner,17,1405,70,5,Y,East
407,Hyundai EON Sportz,2013,219000,50000,New York,New York City,Petrol,Individual,Manual,Second Owner,21,814,55.2,5,Y,East
408,Tata Tiago 1.2 Revotron XE,2018,325000,100000,New York,New York City,Petrol,Individual,Manual,First Owner,23.8,1199,84,5,Y,East
412,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,New York,New York City,Diesel,Dealer,Automatic,First Owner,19.3,1999,177,5,Y,East
413,Tata Safari Storme EX,2015,503000,110000,New York,New York City,Diesel,Individual,Manual,First Owner,14,2179,147.94,7,Y,East
417,Maruti Baleno Alpha 1.3,2018,740000,38817,New York,New York City,Diesel,Dealer,Manual,First Owner,27.3,1248,74,5,Y,East
421,Toyota Etios VX,2017,625000,25538,New York,New York City,Petrol,Trustmark Dealer,Manual,First Owner,16.7,1496,88.73,5,Y,East
422,Maruti Swift AMT ZXI,2018,600000,69779,New York,New York City,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5,Y,East
439,Maruti Swift Dzire VDI,2013,530000,120000,New York,New York City,Diesel,Individual,Manual,Second Owner,23,1248,74,5,Y,East
440,Volkswagen Polo 1.5 TDI Highline,2015,520000,110000,New York,New York City,Diesel,Individual,Manual,Second Owner,20.1,1498,88.8,5,Y,East
445,Maruti 800 Std,2010,120000,70000,New York,New York City,Petrol,Individual,Manual,Second Owner,16,796,37,4,Y,East
446,Maruti Celerio VXI,2014,320000,50000,New York,New York City,Petrol,Individual,Manual,First Owner,23,998,67.04,5,Y,East
454,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,950000,30000,New York,New York City,Diesel,Individual,Manual,First Owner,23,1498,98.96,5,Y,East
455,Hyundai i20 Active 1.4 SX with AVN,2015,610000,50000,New York,New York City,Diesel,Individual,Manual,Second Owner,21.1,1396,88.73,5,Y,East
458,Mahindra Bolero 2011-2019 SLE,2015,375000,80000,New York,New York City,Diesel,Individual,Manual,First Owner,15.9,2523,62.1,7,Y,East
472,Chevrolet Captiva LT,2011,500000,99500,New York,New York City,Diesel,Individual,Manual,Third Owner,11,1991,147.9,7,Y,East
478,Ford Fiesta Titanium 1.5 TDCi,2013,300000,60000,New York,New York City,Diesel,Individual,Manual,Second Owner,23,1498,90,5,Y,East
479,Tata Indigo CS LX DiCOR,2010,140000,40000,New York,New York City,Diesel,Individual,Manual,First Owner,16,1405,70,5,Y,East
497,Toyota Etios Liva GD,2013,409999,45000,New York,New York City,Diesel,Individual,Manual,First Owner,23.5,1364,67.06,5,Y,East
498,Hyundai Grand i10 AT Asta,2015,400000,40000,New York,New York City,Petrol,Individual,Automatic,First Owner,18,1197,82,5,Y,East
499,Maruti Swift Dzire VDI,2019,700000,30000,New York,New York City,Diesel,Individual,Manual,First Owner,28,1248,74.02,5,Y,East
505,Tata Tiago 1.2 Revotron XZ,2017,450000,90000,New York,New York City,Petrol,Individual,Manual,First Owner,23.8,1199,84,5,Y,East
506,Chevrolet Beat Diesel LT,2012,220000,70000,New York,New York City,Diesel,Individual,Manual,Second Owner,25.4,936,57.6,5,Y,East
507,Tata New Safari DICOR 2.2 VX 4x2,2009,250000,146000,New York,New York City,Diesel,Individual,Manual,Second Owner,13.9,2179,138,7,Y,East
508,Ford Figo Petrol EXI,2012,300000,85000,New York,New York City,Petrol,Individual,Manual,Second Owner,15,1196,70,5,Y,East
510,Maruti Swift Dzire VDI,2016,561000,30000,New York,New York City,Diesel,Individual,Manual,First Owner,26.5,1248,74,5,Y,East
511,Maruti Swift Dzire VDI,2018,755000,15000,New York,New York City,Diesel,Individual,Manual,First Owner,28,1248,74.02,5,Y,East
512,Datsun RediGO S,2017,235000,25000,New York,New York City,Petrol,Individual,Manual,First Owner,22,799,53.64,5,Y,East
523,Chevrolet Beat LT,2015,200000,50000,New York,New York City,Petrol,Individual,Manual,First Owner,18,1199,76.8,5,Y,East
531,Hyundai i20 1.2 Asta Option,2018,801000,20000,New York,New York City,Petrol,Individual,Manual,First Owner,18,1197,81.83,5,Y,East
557,Honda BR-V i-VTEC S MT,2017,700000,43000,New York,New York City,Petrol,Dealer,Manual,First Owner,15,1497,117.3,7,Y,East
562,Datsun RediGO T Option,2018,217000,25000,New York,New York City,Petrol,Individual,Manual,First Owner,22,799,53.64,5,Y,East
570,Jeep Compass 2.0 Limited,2017,1650000,50000,New York,New York City,Diesel,Individual,Manual,First Owner,17,1956,170,5,Y,East
571,Maruti Ertiga ZDI,2013,630000,120000,New York,New York City,Diesel,Individual,Manual,Second Owner,20.7,1248,88.8,7,Y,East
585,Mahindra Bolero 2011-2019 SLX,2012,500000,76000,New York,New York City,Diesel,Individual,Manual,First Owner,15.9,2523,62.1,7,Y,East
586,Maruti Wagon R VXI Optional,2015,400000,40000,New York,New York City,Petrol,Individual,Manual,First Owner,20.5,998,67.04,5,Y,East
587,Hyundai EON Magna Plus,2015,280000,60000,New York,New York City,Petrol,Individual,Manual,Second Owner,21,814,55.2,5,Y,East
592,Toyota Etios VX,2012,375000,31711,New York,New York City,Petrol,Dealer,Manual,Second Owner,17,1496,88.7,5,Y,East
594,Renault KWID RXT,2016,300000,66693,New York,New York City,Petrol,Dealer,Manual,First Owner,25.1,799,53.3,5,Y,East
598,Hyundai Verna 1.6 SX,2011,400000,221889,New York,New York City,Diesel,Dealer,Manual,First Owner,22.3,1582,126.32,5,Y,East
599,Honda Amaze VX i-DTEC,2013,500000,116104,New York,New York City,Diesel,Dealer,Manual,First Owner,25,1498,98.6,5,Y,East
600,Maruti Swift VXI BSIV,2015,500000,150546,New York,New York City,Petrol,Dealer,Manual,First Owner,22,1197,81.8,5,Y,East
607,Hyundai i10 Sportz 1.1L,2011,200000,80000,New York,New York City,Petrol,Individual,Manual,First Owner,19.8,1086,68.05,5,Y,East
613,Maruti Alto 800 LXI,2013,200000,24000,New York,New York City,Petrol,Individual,Manual,First Owner,22.7,796,47.3,5,Y,East
614,Maruti Ertiga SHVS ZDI,2017,800000,100000,New York,New York City,Diesel,Individual,Manual,Second Owner,24.5,1248,88.5,7,Y,East
619,Hyundai i10 Era,2008,135000,80000,New York,New York City,Petrol,Individual,Manual,Second Owner,19.8,1086,68.05,5,Y,East
620,Tata Bolt Revotron XE,2015,299000,16500,New York,New York City,Petrol,Individual,Manual,First Owner,17.5,1193,88.7,5,Y,East
627,Maruti Swift VDI,2011,300000,70000,New York,New York City,Diesel,Individual,Manual,Second Owner,22,1248,74,5,Y,East
628,Mahindra Bolero 2011-2019 SLX,2014,600000,50000,New York,New York City,Diesel,Individual,Manual,Second Owner,15.9,2523,62.1,7,Y,East
633,Mahindra Scorpio S10 7 Seater,2016,1100000,60000,New York,New York City,Diesel,Individual,Manual,First Owner,15,2179,120,7,Y,East
644,Maruti Wagon R VXI BS IV,2011,270000,40000,New York,New York City,Petrol,Individual,Manual,First Owner,18,998,67.1,5,Y,East
645,Tata Indica Vista Aura Safire Anniversary Edition,2009,135000,28900,New York,New York City,Petrol,Individual,Manual,Second Owner,0,1172,65,5,Y,East
646,Maruti Wagon R VXI BS IV,2012,275000,20000,New York,New York City,Petrol,Individual,Manual,First Owner,18,998,67.1,5,Y,East
647,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,New York,New York City,Diesel,Dealer,Automatic,First Owner,13,1999,177,5,Y,East
648,Lexus ES 300h,2019,5150000,20000,New York,New York City,Petrol,Dealer,Automatic,First Owner,22.3,2487,214.56,5,Y,East
649,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,New York,New York City,Diesel,Dealer,Automatic,First Owner,19.3,1999,177,5,Y,East
654,Maruti Baleno Alpha 1.3,2018,740000,38817,New York,New York City,Diesel,Dealer,Manual,First Owner,27.3,1248,74,5,Y,East
658,Toyota Etios VX,2017,625000,25538,New York,New York City,Petrol,Trustmark Dealer,Manual,First Owner,16.7,1496,88.73,5,Y,East
659,Maruti Swift AMT ZXI,2018,600000,69779,New York,New York City,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5,Y,East
667,Maruti A-Star Zxi,2012,235000,98500,New York,New York City,Petrol,Individual,Manual,Second Owner,19,998,66.1,5,Y,East
669,Mahindra Thar CRDe AC,2014,700000,40000,New York,New York City,Diesel,Individual,Manual,Second Owner,16.5,2498,105,6,Y,East
677,Mahindra KUV 100 G80 K6 Plus,2018,535000,21000,New York,New York City,Petrol,Individual,Manual,Second Owner,18.1,1198,82,6,Y,East
